City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,papatowai,-46.5619,169.4708,58.62,54,7,11.45,NZ,1698628973
140,papao,-17.75,-149.55,80.28,81,16,18.34,PF,1698628974
141,kalmunai,7.4167,81.8167,77.52,84,68,3.96,LK,1698628974
142,ust-nera,64.5667,143.2,8.8,93,100,1.28,RU,1698628974
143,pisco,-13.7,-76.2167,68.05,77,0,20.71,PE,1698628974
144,mossel bay,-34.1831,22.146,56.23,64,2,17.34,ZA,1698628974
145,pangobilian,8.8011,117.8594,84.96,73,89,9.4,PH,1698628974
146,new norfolk,-42.7826,147.0587,63.9,64,93,8.28,AU,1698628974
147,baharly,38.4362,57.4316,71.44,34,10,3.78,TM,1698628975
148,georgetown,5.4112,100.3354,80.55,83,20,6.91,MY,1698628827
149,aleksandrovsk,59.158,57.5624,25.81,79,100,11.79,RU,1698628975
150,claremont,34.0967,-117.7198,72.12,14,0,14.97,US,1698628975
151,port lincoln,-34.7333,135.8667,61.02,52,84,21.09,AU,1698628975
152,shalkar,47.8288,59.6258,49.82,77,24,17.49,KZ,1698628975
153,baturaja,-4.1333,104.1667,83.21,50,19,3.2,ID,1698628975
154,jamaame,0.0697,42.745,77.86,84,80,5.59,SO,1698628976
155,campbell river,50.0163,-125.2446,42.46,87,75,0.0,CA,1698628976
156,tazovsky,67.4667,78.7,2.57,94,13,2.73,RU,1698628976
157,holualoa,19.6228,-155.9522,82.26,67,0,9.22,US,1698628976
158,mount isa,-20.7333,139.5,96.57,32,100,11.5,AU,1698628976
159,chinde,26.8418,88.0763,57.38,77,0,3.98,NP,1698628976
160,sinabang,2.4803,96.3801,79.34,82,98,2.48,ID,1698628976
161,bredasdorp,-34.5322,20.0403,55.44,59,0,19.01,ZA,1698628977
162,luderitz,-26.6481,15.1594,71.06,29,2,10.69,NA,1698628977
163,portland,45.5234,-122.6762,53.29,48,0,8.99,US,1698628818
164,mantua,45.1667,10.7833,58.15,91,100,4.0,IT,1698628870
165,invercargill,-46.4,168.35,63.01,49,5,5.99,NZ,1698628977
166,baoshan,46.5586,131.4244,52.52,40,32,7.16,CN,1698628978
167,qaqortoq,60.7167,-46.0333,39.81,76,100,7.31,GL,1698628978
168,carnarvon,-24.8667,113.6333,70.63,62,0,22.62,AU,1698628978
169,reggane,26.7158,0.1714,84.72,15,46,7.11,DZ,1698628978
170,brookings,44.3114,-96.7984,27.1,85,100,12.66,US,1698628944
171,malvan,16.0667,73.4667,79.52,66,93,1.72,IN,1698628978
172,oroville east,39.5113,-121.4752,67.15,19,0,10.36,US,1698628978
173,ha'il,27.5219,41.6907,64.42,88,40,2.3,SA,1698628979
174,ilulissat,69.2167,-51.1,23.02,80,100,5.75,GL,1698628979
175,inhambane,-23.865,35.3833,68.92,79,100,19.6,MZ,1698628979
176,thompson,55.7435,-97.8558,24.96,74,75,8.05,CA,1698628979
177,nizao,18.25,-70.2,84.47,83,11,4.59,DO,1698628979
178,hasaki,35.7333,140.8333,70.29,60,0,17.98,JP,1698628979
179,kirensk,57.7853,108.1119,24.96,51,100,8.01,RU,1698628979
180,yanam,16.7333,82.2167,75.45,78,0,4.21,IN,1698628980
181,mccook,40.2019,-100.6257,28.85,72,0,9.22,US,1698628980
182,korla,41.7597,86.1469,49.84,44,100,3.09,CN,1698628980
183,chonchi,-42.6128,-73.8092,40.21,97,100,7.83,CL,1698628980
184,tuy hoa,13.0833,109.3,80.42,82,100,6.29,VN,1698628980
185,sovetskaya gavan',48.9723,140.2878,45.1,41,32,2.06,RU,1698628980
186,argo,37.6333,22.7333,66.99,71,0,3.29,GR,1698628980
187,monrovia,6.3005,-10.7969,76.77,84,0,4.52,LR,1698628761
188,puerto carreno,6.189,-67.4859,73.94,88,100,7.43,CO,1698628981
189,meulaboh,4.1363,96.1285,77.47,88,100,2.68,ID,1698628981
190,wimereux,50.7696,1.6114,55.47,80,2,23.58,FR,1698628981
191,ancud,-41.8697,-73.8203,44.94,82,100,22.82,CL,1698628981
192,aberdeen,57.1437,-2.0981,43.2,93,75,10.36,GB,1698628981
193,alta,69.9689,23.2717,20.46,83,75,4.61,NO,1698628982
194,samoylovka,51.184,43.7081,39.56,75,100,13.73,RU,1698628982
195,trairi,-3.2778,-39.2689,79.48,81,13,11.1,BR,1698628880
196,tulln,48.3283,16.0586,53.94,88,100,2.66,AT,1698628982
